iter	Passed	Remaining
0	1	184
1	3	172
2	5	167
3	6	162
4	8	153
5	9	150
6	11	146
7	12	142
8	14	142
9	15	140
10	17	138
11	18	136
12	19	132
13	21	130
14	22	128
15	23	125
16	25	124
17	26	122
18	28	119
19	29	117
20	31	116
21	32	115
22	33	113
23	35	111
24	36	109
25	37	108
26	39	106
27	40	104
28	42	104
29	44	104
30	46	102
31	47	101
32	49	99
33	50	97
34	51	96
35	53	94
36	54	93
37	56	91
38	57	90
39	59	89
40	61	87
41	62	86
42	64	85
43	65	82
44	66	81
45	68	80
46	70	78
47	71	77
48	72	75
49	74	74
50	75	72
51	77	71
52	78	69
53	80	68
54	81	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	52
64	95	51
65	96	49
66	98	48
67	99	46
68	101	45
69	102	43
70	104	42
71	105	41
72	107	39
73	108	38
74	109	36
75	111	35
76	112	33
77	114	32
78	114	30
79	116	29
80	117	27
81	119	26
82	120	24
83	122	23
84	123	21
85	125	20
86	126	18
87	128	17
88	130	16
89	131	14
90	133	13
91	134	11
92	136	10
93	137	8
94	139	7
95	140	5
96	141	4
97	143	2
98	145	1
99	146	0
