iter	Passed	Remaining
0	145	145782
1	147	73599
2	148	49440
3	150	37354
4	151	30099
5	152	25249
6	153	21784
7	155	19233
8	156	17225
9	157	15603
10	159	14299
11	160	13196
12	161	12294
13	163	11496
14	164	10819
15	165	10205
16	167	9680
17	169	9225
18	170	8802
19	171	8419
20	173	8078
21	174	7760
22	175	7470
23	177	7205
24	178	6965
25	179	6730
26	180	6520
27	182	6330
28	183	6159
29	185	5992
30	186	5829
31	187	5678
32	188	5536
33	190	5402
34	191	5276
35	192	5158
36	193	5045
37	195	4940
38	196	4849
39	198	4758
40	199	4670
41	200	4582
42	202	4497
43	203	4419
44	204	4345
45	205	4271
46	207	4199
47	208	4133
48	209	4068
49	211	4013
50	212	3955
51	213	3898
52	215	3842
53	216	3788
54	217	3738
55	218	3690
56	220	3644
57	221	3599
58	222	3553
59	224	3511
60	225	3473
61	227	3437
62	228	3401
63	230	3364
64	231	3329
65	232	3291
66	233	3254
67	234	3219
68	236	3185
69	237	3152
70	238	3119
71	239	3089
72	241	3061
73	242	3035
74	243	3007
75	245	2980
76	246	2953
77	247	2928
78	248	2902
79	250	2876
80	251	2851
81	252	2826
82	253	2797
83	254	2774
84	255	2751
85	256	2730
86	258	2710
87	259	2688
88	260	2667
89	261	2646
90	263	2627
91	264	2609
92	265	2590
93	266	2571
94	267	2552
95	269	2534
96	270	2518
97	271	2501
98	273	2486
99	274	2469
100	275	2452
101	276	2438
102	278	2423
103	279	2407
104	280	2391
105	281	2375
106	282	2360
107	284	2346
108	285	2334
109	286	2321
110	288	2308
111	289	2295
112	290	2282
113	291	2269
114	293	2256
115	294	2244
116	295	2230
117	296	2218
118	298	2206
119	299	2197
120	301	2190
121	302	2179
122	304	2168
123	305	2157
124	306	2147
125	308	2137
126	309	2125
127	310	2115
128	311	2106
129	313	2095
130	314	2087
131	315	2077
132	317	2068
133	318	2059
134	320	2050
135	321	2041
136	322	2032
137	323	2023
138	325	2015
139	326	2007
140	328	1999
141	329	1990
142	331	1983
143	332	1977
144	334	1969
145	335	1962
146	336	1954
147	338	1947
148	339	1940
149	341	1932
150	342	1924
151	343	1917
152	345	1911
153	346	1904
154	348	1898
155	349	1893
156	351	1886
157	352	1879
158	353	1871
159	355	1864
160	356	1856
161	357	1851
162	359	1846
163	361	1842
164	362	1836
165	364	1830
166	365	1824
167	367	1817
168	368	1811
169	369	1806
170	371	1801
171	373	1795
172	374	1791
173	376	1787
174	378	1782
175	379	1776
176	380	1771
177	382	1765
178	383	1759
179	385	1755
180	386	1749
181	388	1745
182	389	1740
183	391	1735
184	392	1730
185	394	1725
186	395	1720
187	397	1715
188	398	1710
189	400	1705
190	401	1701
191	403	1696
192	404	1691
193	406	1687
194	407	1683
195	409	1678
196	410	1673
197	412	1668
198	414	1666
199	415	1661
200	417	1658
201	418	1654
202	420	1651
203	422	1646
204	423	1643
205	425	1638
206	426	1634
207	428	1630
208	429	1625
209	430	1620
210	432	1616
211	433	1612
212	435	1608
213	437	1605
214	438	1600
215	439	1595
216	440	1590
217	441	1585
218	443	1579
219	444	1574
220	445	1570
221	446	1566
222	448	1562
223	449	1558
224	451	1553
225	452	1550
226	454	1547
227	455	1543
228	457	1539
229	458	1535
230	460	1531
231	461	1528
232	463	1524
233	464	1521
234	466	1517
235	467	1514
236	469	1510
237	470	1507
238	472	1503
239	473	1500
240	475	1497
241	477	1494
242	479	1492
243	480	1489
244	482	1486
245	483	1482
246	485	1479
247	486	1476
248	488	1473
249	490	1470
250	491	1466
251	493	1463
252	494	1459
253	495	1456
254	497	1453
255	498	1449
256	500	1446
257	501	1442
258	503	1440
259	505	1437
260	506	1434
261	508	1432
262	509	1428
263	511	1425
264	512	1422
265	514	1419
266	515	1415
267	517	1412
268	518	1409
269	520	1406
270	521	1403
271	523	1401
272	525	1398
273	527	1397
274	529	1395
275	530	1392
276	532	1389
277	533	1386
278	535	1383
279	537	1381
280	539	1379
281	540	1376
282	542	1373
283	543	1370
284	545	1368
285	546	1365
286	548	1362
287	549	1358
288	551	1355
289	552	1353
290	554	1351
291	556	1349
292	558	1347
293	559	1343
294	560	1340
295	562	1337
296	563	1334
297	565	1332
298	567	1330
299	569	1328
300	571	1326
301	572	1323
302	574	1322
303	576	1319
304	577	1316
305	579	1313
306	580	1311
307	582	1308
308	584	1306
309	586	1304
310	587	1301
311	589	1299
312	590	1296
313	591	1293
314	593	1290
315	594	1287
316	596	1284
317	598	1283
318	599	1280
319	602	1279
320	603	1277
321	605	1274
322	606	1271
323	608	1268
324	609	1266
325	611	1263
326	613	1261
327	614	1259
328	616	1257
329	618	1254
330	619	1252
331	621	1249
332	622	1246
333	623	1244
334	625	1241
335	627	1239
336	628	1236
337	630	1234
338	631	1232
339	633	1229
340	635	1227
341	636	1224
342	638	1222
343	639	1219
344	641	1216
345	642	1214
346	644	1212
347	645	1209
348	647	1207
349	648	1205
350	650	1202
351	652	1200
352	653	1197
353	654	1194
354	656	1193
355	658	1191
356	660	1189
357	661	1187
358	663	1184
359	665	1182
360	666	1180
361	668	1177
362	669	1175
363	671	1173
364	673	1171
365	675	1169
366	676	1167
367	678	1164
368	679	1162
369	681	1160
370	682	1157
371	684	1155
372	686	1153
373	688	1151
374	689	1149
375	691	1147
376	692	1144
377	694	1142
378	695	1140
379	697	1138
380	699	1136
381	700	1133
382	702	1131
383	703	1129
384	705	1126
385	707	1124
386	708	1122
387	710	1119
388	711	1117
389	713	1115
390	714	1112
391	716	1111
392	718	1109
393	720	1107
394	721	1105
395	723	1103
396	724	1100
397	726	1098
398	728	1096
399	729	1094
400	731	1092
401	733	1090
402	734	1088
403	736	1086
404	738	1084
405	739	1082
406	741	1080
407	742	1077
408	744	1075
409	746	1073
410	747	1071
411	749	1069
412	751	1067
413	752	1065
414	754	1063
415	756	1061
416	757	1059
417	759	1057
418	761	1056
419	763	1054
420	765	1052
421	766	1050
422	768	1048
423	769	1046
424	771	1043
425	773	1041
426	774	1039
427	776	1037
428	777	1035
429	779	1033
430	780	1031
431	782	1029
432	784	1027
433	785	1024
434	787	1022
435	789	1020
436	791	1019
437	793	1017
438	794	1015
439	796	1013
440	798	1011
441	799	1009
442	801	1007
443	803	1005
444	804	1003
445	806	1001
446	808	1000
447	809	997
448	811	995
449	812	993
450	813	990
451	815	988
452	816	986
453	818	984
454	819	982
455	821	980
456	823	978
457	825	976
458	827	974
459	828	972
460	830	970
461	831	968
462	833	966
463	834	963
464	836	962
465	838	960
466	839	958
467	841	956
468	842	953
469	844	951
470	845	949
471	846	947
472	848	945
473	850	943
474	852	941
475	853	939
476	855	937
477	856	935
478	857	933
479	859	931
480	860	928
481	862	926
482	863	924
483	865	923
484	867	921
485	868	918
486	870	916
487	871	914
488	872	912
489	874	910
490	875	907
491	877	905
492	878	903
493	880	901
494	882	900
495	883	898
496	885	896
497	886	893
498	888	891
499	889	889
500	891	887
501	892	885
502	893	883
503	895	880
504	896	878
505	897	876
506	899	874
507	900	871
508	901	869
509	903	867
510	904	865
511	905	863
512	906	860
513	908	858
514	909	856
515	911	854
516	912	852
517	914	850
518	915	848
519	917	846
520	918	844
521	919	842
522	921	840
523	922	837
524	923	835
525	924	833
526	926	831
527	927	829
528	928	827
529	930	824
530	931	822
531	932	820
532	933	818
533	934	815
534	936	813
535	937	811
536	938	809
537	940	807
538	942	805
539	943	803
540	944	801
541	945	799
542	947	797
543	948	794
544	949	792
545	950	790
546	951	788
547	953	786
548	954	784
549	956	782
550	957	780
551	958	778
552	960	776
553	961	773
554	962	771
555	963	769
556	965	767
557	966	765
558	967	763
559	969	762
560	971	760
